Processing,Waiting,Average response time
1,0,0.000000
1,0,0.000000
1,0,0.000000
1,0,0.000000
1,0,0.000000
2,0,0.000000
2,0,0.000000
2,0,0.000000
2,0,0.000000
2,0,5.000000
1,0,5.000000
1,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
0,0,8.500000
1,0,8.500000
2,0,8.500000
2,0,6.666667
1,0,5.750000
0,0,5.750000
1,0,5.750000
1,0,5.750000
1,0,5.750000
1,0,5.750000
1,0,5.750000
2,0,5.750000
2,0,5.750000
2,0,5.750000
2,0,5.750000
2,0,6.333333
0,0,6.333333
0,0,6.333333
0,0,6.333333
1,0,6.333333
1,0,6.333333
1,0,6.333333
1,0,6.333333
1,0,6.333333
1,0,6.333333
1,0,6.333333
2,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
0,0,5.875000
1,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
0,0,5.333333
1,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
0,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,4.900000
1,0,5.545455
0,0,5.545455
0,0,5.545455
0,0,5.545455
0,0,5.545455
0,0,5.545455
0,0,5.545455
1,0,5.545455
1,0,5.545455
1,0,5.545455
1,0,5.545455
1,0,5.500000
0,0,5.500000
0,0,5.500000
0,0,5.500000
1,0,5.500000
1,0,5.500000
1,0,5.500000
2,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
0,0,5.071429
1,0,4.800000
1,0,4.800000
1,0,4.800000
1,0,4.800000
1,0,4.800000
1,0,4.800000
1,0,4.800000
1,0,4.937500
1,0,4.937500
2,0,4.937500
2,0,4.937500
2,0,4.823529
1,0,4.823529
1,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
0,0,4.888889
1,0,4.888889
1,0,4.888889
1,0,4.888889
1,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
0,0,4.842105
1,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
0,0,4.650000
1,0,4.650000
2,0,4.650000
2,0,4.650000
2,0,4.650000
2,0,4.650000
2,0,4.666667
1,0,4.666667
1,0,4.666667
1,0,4.666667
1,0,4.666667
1,0,4.666667
1,0,4.666667
1,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
0,0,5.045455
1,0,5.045455
1,0,5.045455
2,0,4.869565
2,0,4.708333
1,0,4.708333
1,0,4.708333
1,0,4.708333
1,0,4.708333
2,0,4.708333
2,0,4.708333
2,0,4.708333
2,0,4.708333
2,0,4.708333
2,0,4.760000
1,0,4.760000
1,0,4.760000
1,0,4.760000
1,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
0,0,5.269231
1,0,5.111111
0,0,5.111111
0,0,5.111111
0,0,5.111111
0,0,5.111111
1,0,5.111111
2,0,5.000000
1,0,5.000000
1,0,5.000000
1,0,4.965517
0,0,4.965517
0,0,4.965517
0,0,4.965517
1,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
0,0,4.833333
